Nom	adresse	Ville	Province	Code de pays	Code postal	Téléphone	Autre téléphone	Site web	Courriel	Latitude	Longitude
Bibliothèque de Charleroi	4740, rue Charleroi	Montréal	QC	CA	H1H 1V2	(514) 328-4000 ext. 4135		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.596554	-73.631372
Bibliothèque Henri-Bourassa	5400, boulevard Henri-Bourassa Est	Montréal	QC	CA	H1G 2S9	(514) 328-4000 ext. 4125		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.604678	-73.625205
Bibliothèque Robert-Bourassa	41, avenue Saint-Just	Montréal	QC	CA	H2V 4T7	(514) 495-6208		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.517745	-73.608501
Bibliothèque du Mile End	5434, avenue du Parc	Montréal	QC	CA	H2V 4G7	(514) 872-2141	(514) 872-2142	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.521922	-73.601608
Bibliothèque de Roxboro	110, rue Cartier	Montréal	QC	CA	H8Y 1G8	(514) 684-8247		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.504133	-73.813309
Bibliothèque de la Maison culturelle et communautaire	12002, boulevard Rolland	Montréal	QC	CA	H1G 3W1	(514) 328-4000 ext. 5626		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.616571	-73.620812
Bibliothèque de Belleville	10400, avenue de Belleville	Montréal	QC	CA	H1H 4Z7	(514) 328-4000 ext. 4140		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.581214	-73.641224
Bibliothèque de Verdun	5955, rue Bannantyne	Montréal	QC	CA	H4H 1H6	(514) 765-7170		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.448205	-73.577026
Bibliothèque de L’Île-des-Soeurs	260, rue Elgar	Montréal	QC	CA	H3E 1C9	(514) 765-7266		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.457129	-73.546641
Bibliothèque de Saint-Léonard	8420, boulevard Lacordaire	Montréal	QC	CA	H1R 3G5	(514) 328-8500 ext. 8592		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.587334	-73.597054
Bibliothèque de Rosemont	3131, boulevard Rosemont	Montréal	QC	CA	H1Y 1M4	(514) 872-4701	(514) 872-6139	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.551507	-73.58196
Bibliothèque Georges-Vanier	2450, rue Workman	Montréal	QC	CA	H3J 1L8	(514) 872-2001	(514) 872-2002	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.483664	-73.575209
Bibliothèque de La Petite-Patrie	6707, avenue De Lorimier	Montréal	QC	CA	H2G 2P8	(514) 872-1733	(514) 872-1732	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.547238	-73.598218
Bibliothèque de Saint-Laurent	1380, rue de l'Église	Montréal	QC	CA	H4L 2H2	(514) 855-6130 ext. 4747		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.512689	-73.676562
Bibliothèque de Saint-Henri	4707, rue Notre-Dame Ouest	Montréal	QC	CA	H4C 1S9	(514) 872-2879		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.472502	-73.589131
Bibliothèque Marie-Uguay	6052, boulevard Monk	Montréal	QC	CA	H4E 3H6	(514) 872-4097	(514) 872-4414	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.457705	-73.595554
Bibliothèque de Cartierville	5900, rue De Salaberry	Montréal	QC	CA	H4J 1J8	(514) 872-6989		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.527201	-73.713405
Bibliothèque de Saint-Charles	2333, rue Mullins	Montréal	QC	CA	H3K 3E3	(514) 872-3092		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.479036	-73.563745
Bibliothèque de Rivière-des-Prairies	9001, boulevard Perras	Montréal	QC	CA	H1E 3J7	(514) 872-9425	(514) 872-9494	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.650223	-73.578144
Bibliothèque Frontenac	2550, rue Ontario Est	Montréal	QC	CA	H2K 1W7	(514) 872-7888		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.533656	-73.55225
Bibliothèque de Parc-Extension	421, rue Saint-Roch	Montréal	QC	CA	H3N 1K2	(514) 872-6071		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.531213	-73.628473
Bibliothèque Père-Ambroise	2093, rue de la Visitation	Montréal	QC	CA	H2L 3C9	(514) 872-1633		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.522913	-73.563244
Bibliothèque de Côte-des-Neiges	5290, chemin de la Côte-des-Neiges	Montréal	QC	CA	H3T 1Y2	(514) 872-6603	(514) 872-5118	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.496087	-73.622123
Bibliothèque Benny	3465, avenue Benny	Montréal	QC	CA	H4B 2R9	(514) 872-4147	(514) 872-4636	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.46532	-73.627673
Bibliothèque Haut-Anjou	7070, rue Jarry Est	Montréal	QC	CA	H1J 1G4	(514) 493-8271		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.601288	-73.575989
Bibliothèque de Saint-Michel	7601, rue François-Perreault	Montréal	QC	CA	H2A 3L6	(514) 872-3899	(514) 872-4250	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.562238	-73.602391
Bibliothèque De Salaberry	4170, rue De Salaberry	Montréal	QC	CA	H4J 1H1	(514) 872-1521		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.534556	-73.704195
Bibliothèque Jean-Corbeil	7500, avenue Goncourt	Montréal	QC	CA	H1K 3X9	(514) 493-8260		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.603291	-73.559177
Bibliothèque Le Prévost	7355, avenue Christophe-Colomb	Montréal	QC	CA	H2R 2S5	(514) 872-1523	(514) 872-1526	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.543886	-73.614576
Bibliothèque Du Boisé	2727 boul. Thimens	Montréal	Qc	CA	H4R 1T4	(514) 855-6130		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.502848	-73.70562
